"NUTS","Country","Population_density","Percentage_early_leavers_from_education","Percentage_of_NEET","Percentage_of_people_studying_or_training","Life_expectancy","Hospital_beds","Air_passengers","Utilised_agricoltural_area","Unemployement_rate","GVA","First_wave_density","Second_wave_density","Latitude","Longitude","Students_in_tertiary_education","Students","Deaths","Discharges_after_respiratory_disease","Health_personnel","Vehicles","Farm_labour_force","Compensation_of_employees","Hours_worked","GDP"
"ES24","ES",27.9,14.2,11.8,10.9,84.4,362.29,345,2261690,11.7,109.9,0.0174775789219692,0.0616056280645523,41.507,-0.6751,3962.91755522865,6163.94541817725,80.4858633139222,1410.47391893609,501.002380606961,59608.5341038672,2966.17463447122,1279.22106720648,78610.9041871471,2859.7381257174
"ES30","ES",839.7,10,9.9,12.4,85.8,273.1,59747,304150,12.5,114.1,0.0147499625022306,0.0701993814201961,40.5008,-3.7119,6060.48434668214,6583.03725410801,10.4715114772817,1386.79497523962,515.779594929234,68561.0549649122,84.7775656033109,1742.96449954262,87188.959708128,3559.02326758823
"ES41","ES",25.6,15.4,11.7,10.4,84.7,349.97,242,5295680,12.1,108,0.010160300203181,0.0746047881424574,41.7447,-4.8172,4559.641895018,5344.67271365136,50.5583001257232,1629.44596421865,466.412666102252,69246.4145567393,2805.13903470069,1070.43372629989,70849.0043130678,2490.09518566347
"ES42","ES",25.8,18.7,12.4,9.1,83.9,233.41,17601.9333333333,4045810,17.7,110.6,0.0101815938371708,0.0712780009718639,39.2748,-3.1358,2595.38491772889,6569.85833666576,47.0518011257586,1292.31494255346,281.830741207516,70221.1723572196,3683.59867302452,874.863239982909,61893.4430477025,2093.33119536321
"ES43","ES",26,18.4,16.6,10.3,83.1,335.24,17601.9333333333,2491730,21.8,108.7,0.00384282551726541,0.0608458359346089,39.1892,-6.1601,3072.00048211876,6054.2628432389,100.967156601025,1409.44406621977,307.444874145346,72113.9495225424,5185.60159852502,829.225436661177,62319.4338117797,1947.01778472079
"ES51","ES",238.1,17.4,17,10,84.3,384,54693,1125270,12.6,110.7,0.0127056427648089,0.060547560043009,41.8005,1.5078,4953.512307595,6775.42370001992,11.5554075690233,1608.22534469159,486.883241588072,57880.5746941984,732.454927559489,1446.36652697969,80382.890323336,3094.66323277509
"ES52","ES",216.2,15.5,12,12,83.5,231.9,23401,637750,16.2,110.9,0.00370466031235504,0.0705305128445258,39.3945,-0.54,4435.61094783591,6539.3855775538,18.16937845336,1290.86494632199,390.906084912516,62865.7710821358,1262.3920310832,1039.83006918799,68005.4802408506,2306.76842154867
"ES53","ES",241.2,21.3,18.2,11.3,84.2,287.46,40285,176280,16.1,112.9,0.00421152615168597,0.0416766813273039,39.6075,2.9634,2086.43581325239,5965.84690990935,57.5572487559107,1512.72997584092,363.418612814636,73894.9802804105,620.289495963162,1212.38101137748,73763.3897045159,2791.65623903033
"ES61","ES",97.4,21.8,17.2,9.6,82.6,217.98,30414,4369000,22.3,110.6,0.00260636750076639,0.0526700434520398,37.4607,-4.5804,4066.19043479522,6911.73936372173,10.2005370789599,880.352315493962,370.720598040854,61154.4378605399,2857.24968722293,883.224427031441,60693.6379367836,1956.40016734915
"ES62","ES",132.4,18.7,12.4,12.8,82.9,325.41,22,375860,16.2,109.9,0.00259756829331988,0.0673739707575875,37.9999,-1.4907,4627.77823185938,7329.40873923245,50.8017641402674,1272.80181863006,449.607241560561,64187.3810943012,2690.59964687956,991.255717275058,70504.5023852575,2150.09213426551
"ES63","ES",4222.9,25.5,18.9,9,81.4,211.94,17601.9333333333,0,24.5,107.2,0.00240233097460903,0.0508176250222989,35.8958,-5.3543,3183.68317773681,9308.43789023013,748.3736695011,745.674020336564,909.793661176191,59755.0098115003,0,1187.36992329191,61278.7060712374,2099.25670452518
"ES64","ES",6041.5,22.8,22.8,10.5,81.4,190.35,428,0,23.6,108.7,0.0025451919548258,0.0773501592224735,35.297,-2.9509,3489.87250364022,9880.0800255703,721.200857078593,725.67565967824,905.614811833367,71701.0168929717,0,1075.6099582115,58008.4760811147,1919.93891539308
"ES70","ES",299.4,18.2,19.7,10.2,83.5,290.96,40035,52210,22.6,111.2,0.00183639458701685,0.0157063592538552,28.2457,-16.5646,3144.80337882299,5631.31204760679,33.2625239607473,1076.26670099848,391.820802220124,70787.1105484508,983.016479272165,971.724530083255,63343.5345320859,2108.3758904815
"FI19","FI",23.7,8.1,10.5,25.6,82.3,333.02,667,791180,7.7,106.2,0.000522974615784114,0.00555107452787215,62.3222,23.7142,5729.21955649431,6836.89575034164,75.795777324517,1550.88479619124,335.76275956514,85991.9689667878,1401.36887336326,1761.44596315822,72112.6883361428,3841.93690648547
"FI1B","FI",184.7,8,7.6,30.8,82.4,274.76,22049,181470,7.2,111,0.00326384470845848,0.0148976904525884,60.3817,24.7512,5424.01870126796,6720.4426755833,43.1158916391721,1550.88479619124,416.103212061134,63483.111157141,198.848925120952,2551.79570640193,85956.5284291823,5619.91270768912
"FI20","FI",19.2,8.225,9.35,25.4,83.9,392.14,52,19550,7.85,94.7,0.000568866282960782,0.00378128764556284,60.2653,20.0931,1743.40784366216,6618.92651586133,3048.32017132914,1550.88479619124,210.81515192076,103460.045509303,1873.91246151787,2407.87712488288,96211.6517199839,4546.98166242805
